par_1,par_2,par_3,fluxo,score_total,score_medio,tipo_ciclo
PARV2_074,PARV2_129,PARV2_200,PARV2_074 → PARV2_129 → PARV2_200 → PARV2_074,2.071,0.69,3_pares
PARV2_107,PARV2_134,PARV2_166,PARV2_107 → PARV2_134 → PARV2_166 → PARV2_107,2.071,0.69,3_pares
PARV2_127,PARV2_166,PARV2_235,PARV2_127 → PARV2_166 → PARV2_235 → PARV2_127,2.071,0.69,3_pares
PARV2_006,PARV2_235,PARV2_225,PARV2_006 → PARV2_235 → PARV2_225 → PARV2_006,2.071,0.69,3_pares
PARV2_074,PARV2_218,PARV2_209,PARV2_074 → PARV2_218 → PARV2_209 → PARV2_074,2.071,0.69,3_pares
PARV2_032,PARV2_127,PARV2_204,PARV2_032 → PARV2_127 → PARV2_204 → PARV2_032,2.071,0.69,3_pares
PARV2_166,PARV2_204,PARV2_235,PARV2_166 → PARV2_204 → PARV2_235 → PARV2_166,2.071,0.69,3_pares
PARV2_074,PARV2_090,PARV2_134,PARV2_074 → PARV2_090 → PARV2_134 → PARV2_074,2.071,0.69,3_pares
PARV2_069,PARV2_239,PARV2_181,PARV2_069 → PARV2_239 → PARV2_181 → PARV2_069,2.071,0.69,3_pares
PARV2_032,PARV2_166,PARV2_068,PARV2_032 → PARV2_166 → PARV2_068 → PARV2_032,2.071,0.69,3_pares
PARV2_006,PARV2_074,PARV2_187,PARV2_006 → PARV2_074 → PARV2_187 → PARV2_006,2.071,0.69,3_pares
PARV2_122,PARV2_142,PARV2_204,PARV2_122 → PARV2_142 → PARV2_204 → PARV2_122,2.071,0.69,3_pares
PARV2_159,PARV2_177,PARV2_193,PARV2_159 → PARV2_177 → PARV2_193 → PARV2_159,2.07,0.69,3_pares
PARV2_159,PARV2_193,PARV2_218,PARV2_159 → PARV2_193 → PARV2_218 → PARV2_159,2.07,0.69,3_pares
PARV2_127,PARV2_243,PARV2_129,PARV2_127 → PARV2_243 → PARV2_129 → PARV2_127,2.07,0.69,3_pares
PARV2_171,PARV2_204,PARV2_225,PARV2_171 → PARV2_204 → PARV2_225 → PARV2_171,2.07,0.69,3_pares
PARV2_074,PARV2_159,PARV2_087,PARV2_074 → PARV2_159 → PARV2_087 → PARV2_074,2.07,0.69,3_pares
PARV2_090,PARV2_159,PARV2_125,PARV2_090 → PARV2_159 → PARV2_125 → PARV2_090,2.07,0.69,3_pares
PARV2_001,PARV2_074,PARV2_239,PARV2_001 → PARV2_074 → PARV2_239 → PARV2_001,2.07,0.69,3_pares
PARV2_164,PARV2_166,PARV2_204,PARV2_164 → PARV2_166 → PARV2_204 → PARV2_164,2.07,0.69,3_pares
PARV2_049,PARV2_174,PARV2_129,PARV2_049 → PARV2_174 → PARV2_129 → PARV2_049,2.07,0.69,3_pares
PARV2_125,PARV2_209,PARV2_166,PARV2_125 → PARV2_209 → PARV2_166 → PARV2_125,2.07,0.69,3_pares
PARV2_139,PARV2_193,PARV2_166,PARV2_139 → PARV2_193 → PARV2_166 → PARV2_139,2.07,0.69,3_pares
PARV2_135,PARV2_138,PARV2_166,PARV2_135 → PARV2_138 → PARV2_166 → PARV2_135,2.07,0.69,3_pares
PARV2_166,PARV2_204,PARV2_216,PARV2_166 → PARV2_204 → PARV2_216 → PARV2_166,2.07,0.69,3_pares
PARV2_129,PARV2_193,PARV2_200,PARV2_129 → PARV2_193 → PARV2_200 → PARV2_129,2.07,0.69,3_pares
PARV2_193,PARV2_200,PARV2_204,PARV2_193 → PARV2_200 → PARV2_204 → PARV2_193,2.07,0.69,3_pares
PARV2_074,PARV2_204,PARV2_116,PARV2_074 → PARV2_204 → PARV2_116 → PARV2_074,2.07,0.69,3_pares
PARV2_098,PARV2_204,PARV2_143,PARV2_098 → PARV2_204 → PARV2_143 → PARV2_098,2.069,0.69,3_pares
PARV2_006,PARV2_200,PARV2_113,PARV2_006 → PARV2_200 → PARV2_113 → PARV2_006,2.069,0.69,3_pares
PARV2_133,PARV2_159,PARV2_204,PARV2_133 → PARV2_159 → PARV2_204 → PARV2_133,2.069,0.69,3_pares
PARV2_006,PARV2_209,PARV2_074,PARV2_006 → PARV2_209 → PARV2_074 → PARV2_006,2.069,0.69,3_pares
PARV2_035,PARV2_079,PARV2_239,PARV2_035 → PARV2_079 → PARV2_239 → PARV2_035,2.069,0.69,3_pares
PARV2_135,PARV2_171,PARV2_166,PARV2_135 → PARV2_171 → PARV2_166 → PARV2_135,2.069,0.69,3_pares
PARV2_032,PARV2_209,PARV2_159,PARV2_032 → PARV2_209 → PARV2_159 → PARV2_032,2.069,0.69,3_pares
PARV2_006,PARV2_219,PARV2_069,PARV2_006 → PARV2_219 → PARV2_069 → PARV2_006,2.069,0.69,3_pares
PARV2_125,PARV2_179,PARV2_166,PARV2_125 → PARV2_179 → PARV2_166 → PARV2_125,2.069,0.69,3_pares
PARV2_063,PARV2_129,PARV2_166,PARV2_063 → PARV2_129 → PARV2_166 → PARV2_063,2.069,0.69,3_pares
PARV2_074,PARV2_105,PARV2_198,PARV2_074 → PARV2_105 → PARV2_198 → PARV2_074,2.069,0.69,3_pares
PARV2_021,PARV2_193,PARV2_159,PARV2_021 → PARV2_193 → PARV2_159 → PARV2_021,2.069,0.69,3_pares
PARV2_166,PARV2_235,PARV2_212,PARV2_166 → PARV2_235 → PARV2_212 → PARV2_166,2.069,0.69,3_pares
PARV2_006,PARV2_166,PARV2_239,PARV2_006 → PARV2_166 → PARV2_239 → PARV2_006,2.069,0.69,3_pares
PARV2_108,PARV2_246,PARV2_204,PARV2_108 → PARV2_246 → PARV2_204 → PARV2_108,2.069,0.69,3_pares
PARV2_065,PARV2_239,PARV2_187,PARV2_065 → PARV2_239 → PARV2_187 → PARV2_065,2.069,0.69,3_pares
PARV2_006,PARV2_129,PARV2_069,PARV2_006 → PARV2_129 → PARV2_069 → PARV2_006,2.069,0.69,3_pares
PARV2_138,PARV2_166,PARV2_146,PARV2_138 → PARV2_166 → PARV2_146 → PARV2_138,2.069,0.69,3_pares
PARV2_006,PARV2_221,PARV2_166,PARV2_006 → PARV2_221 → PARV2_166 → PARV2_006,2.069,0.69,3_pares
PARV2_074,PARV2_166,PARV2_188,PARV2_074 → PARV2_166 → PARV2_188 → PARV2_074,2.069,0.69,3_pares
PARV2_074,PARV2_235,PARV2_113,PARV2_074 → PARV2_235 → PARV2_113 → PARV2_074,2.068,0.689,3_pares
PARV2_129,PARV2_166,PARV2_239,PARV2_129 → PARV2_166 → PARV2_239 → PARV2_129,2.068,0.689,3_pares
PARV2_098,PARV2_204,PARV2_187,PARV2_098 → PARV2_204 → PARV2_187 → PARV2_098,2.068,0.689,3_pares
PARV2_006,PARV2_235,PARV2_198,PARV2_006 → PARV2_235 → PARV2_198 → PARV2_006,2.068,0.689,3_pares
PARV2_006,PARV2_105,PARV2_014,PARV2_006 → PARV2_105 → PARV2_014 → PARV2_006,2.068,0.689,3_pares
PARV2_159,PARV2_235,PARV2_194,PARV2_159 → PARV2_235 → PARV2_194 → PARV2_159,2.068,0.689,3_pares
PARV2_139,PARV2_166,PARV2_239,PARV2_139 → PARV2_166 → PARV2_239 → PARV2_139,2.068,0.689,3_pares
PARV2_142,PARV2_166,PARV2_204,PARV2_142 → PARV2_166 → PARV2_204 → PARV2_142,2.068,0.689,3_pares
PARV2_079,PARV2_129,PARV2_171,PARV2_079 → PARV2_129 → PARV2_171 → PARV2_079,2.068,0.689,3_pares
PARV2_146,PARV2_239,PARV2_177,PARV2_146 → PARV2_239 → PARV2_177 → PARV2_146,2.068,0.689,3_pares
PARV2_065,PARV2_166,PARV2_239,PARV2_065 → PARV2_166 → PARV2_239 → PARV2_065,2.068,0.689,3_pares
PARV2_006,PARV2_108,PARV2_204,PARV2_006 → PARV2_108 → PARV2_204 → PARV2_006,2.068,0.689,3_pares
PARV2_074,PARV2_129,PARV2_143,PARV2_074 → PARV2_129 → PARV2_143 → PARV2_074,2.068,0.689,3_pares
PARV2_105,PARV2_134,PARV2_204,PARV2_105 → PARV2_134 → PARV2_204 → PARV2_105,2.068,0.689,3_pares
PARV2_032,PARV2_181,PARV2_166,PARV2_032 → PARV2_181 → PARV2_166 → PARV2_032,2.068,0.689,3_pares
PARV2_063,PARV2_074,PARV2_166,PARV2_063 → PARV2_074 → PARV2_166 → PARV2_063,2.068,0.689,3_pares
PARV2_065,PARV2_202,PARV2_166,PARV2_065 → PARV2_202 → PARV2_166 → PARV2_065,2.067,0.689,3_pares
PARV2_127,PARV2_166,PARV2_240,PARV2_127 → PARV2_166 → PARV2_240 → PARV2_127,2.067,0.689,3_pares
PARV2_125,PARV2_171,PARV2_159,PARV2_125 → PARV2_171 → PARV2_159 → PARV2_125,2.067,0.689,3_pares
PARV2_068,PARV2_129,PARV2_166,PARV2_068 → PARV2_129 → PARV2_166 → PARV2_068,2.067,0.689,3_pares
PARV2_187,PARV2_239,PARV2_204,PARV2_187 → PARV2_239 → PARV2_204 → PARV2_187,2.067,0.689,3_pares
PARV2_032,PARV2_216,PARV2_239,PARV2_032 → PARV2_216 → PARV2_239 → PARV2_032,2.067,0.689,3_pares
PARV2_014,PARV2_074,PARV2_235,PARV2_014 → PARV2_074 → PARV2_235 → PARV2_014,2.067,0.689,3_pares
PARV2_098,PARV2_204,PARV2_184,PARV2_098 → PARV2_204 → PARV2_184 → PARV2_098,2.067,0.689,3_pares
PARV2_074,PARV2_218,PARV2_108,PARV2_074 → PARV2_218 → PARV2_108 → PARV2_074,2.067,0.689,3_pares
PARV2_074,PARV2_181,PARV2_127,PARV2_074 → PARV2_181 → PARV2_127 → PARV2_074,2.067,0.689,3_pares
PARV2_063,PARV2_141,PARV2_166,PARV2_063 → PARV2_141 → PARV2_166 → PARV2_063,2.067,0.689,3_pares
PARV2_063,PARV2_193,PARV2_166,PARV2_063 → PARV2_193 → PARV2_166 → PARV2_063,2.067,0.689,3_pares
PARV2_001,PARV2_111,PARV2_235,PARV2_001 → PARV2_111 → PARV2_235 → PARV2_001,2.067,0.689,3_pares
PARV2_074,PARV2_181,PARV2_136,PARV2_074 → PARV2_181 → PARV2_136 → PARV2_074,2.066,0.689,3_pares
PARV2_074,PARV2_105,PARV2_142,PARV2_074 → PARV2_105 → PARV2_142 → PARV2_074,2.066,0.689,3_pares
PARV2_069,PARV2_074,PARV2_177,PARV2_069 → PARV2_074 → PARV2_177 → PARV2_069,2.066,0.689,3_pares
PARV2_068,PARV2_209,PARV2_166,PARV2_068 → PARV2_209 → PARV2_166 → PARV2_068,2.066,0.689,3_pares
PARV2_074,PARV2_204,PARV2_121,PARV2_074 → PARV2_204 → PARV2_121 → PARV2_074,2.066,0.689,3_pares
PARV2_032,PARV2_187,PARV2_138,PARV2_032 → PARV2_187 → PARV2_138 → PARV2_032,2.066,0.689,3_pares
PARV2_166,PARV2_204,PARV2_244,PARV2_166 → PARV2_204 → PARV2_244 → PARV2_166,2.066,0.689,3_pares
PARV2_032,PARV2_177,PARV2_159,PARV2_032 → PARV2_177 → PARV2_159 → PARV2_032,2.066,0.689,3_pares
PARV2_105,PARV2_159,PARV2_235,PARV2_105 → PARV2_159 → PARV2_235 → PARV2_105,2.066,0.689,3_pares
PARV2_134,PARV2_159,PARV2_204,PARV2_134 → PARV2_159 → PARV2_204 → PARV2_134,2.066,0.689,3_pares
PARV2_063,PARV2_239,PARV2_166,PARV2_063 → PARV2_239 → PARV2_166 → PARV2_063,2.066,0.689,3_pares
PARV2_001,PARV2_111,PARV2_125,PARV2_001 → PARV2_111 → PARV2_125 → PARV2_001,2.066,0.689,3_pares
PARV2_127,PARV2_238,PARV2_129,PARV2_127 → PARV2_238 → PARV2_129 → PARV2_127,2.066,0.689,3_pares
PARV2_074,PARV2_166,PARV2_239,PARV2_074 → PARV2_166 → PARV2_239 → PARV2_074,2.065,0.688,3_pares
PARV2_134,PARV2_204,PARV2_194,PARV2_134 → PARV2_204 → PARV2_194 → PARV2_134,2.065,0.688,3_pares
PARV2_065,PARV2_159,PARV2_200,PARV2_065 → PARV2_159 → PARV2_200 → PARV2_065,2.065,0.688,3_pares
PARV2_127,PARV2_204,PARV2_235,PARV2_127 → PARV2_204 → PARV2_235 → PARV2_127,2.065,0.688,3_pares
PARV2_014,PARV2_239,PARV2_049,PARV2_014 → PARV2_239 → PARV2_049 → PARV2_014,2.065,0.688,3_pares
PARV2_129,PARV2_193,PARV2_203,PARV2_129 → PARV2_193 → PARV2_203 → PARV2_129,2.065,0.688,3_pares
PARV2_070,PARV2_142,PARV2_074,PARV2_070 → PARV2_142 → PARV2_074 → PARV2_070,2.065,0.688,3_pares
PARV2_049,PARV2_174,PARV2_200,PARV2_049 → PARV2_174 → PARV2_200 → PARV2_049,2.065,0.688,3_pares
PARV2_179,PARV2_204,PARV2_207,PARV2_179 → PARV2_204 → PARV2_207 → PARV2_179,2.065,0.688,3_pares
PARV2_006,PARV2_181,PARV2_166,PARV2_006 → PARV2_181 → PARV2_166 → PARV2_006,2.065,0.688,3_pares
PARV2_116,PARV2_134,PARV2_204,PARV2_116 → PARV2_134 → PARV2_204 → PARV2_116,2.065,0.688,3_pares
PARV2_006,PARV2_166,PARV2_203,PARV2_006 → PARV2_166 → PARV2_203 → PARV2_006,2.065,0.688,3_pares
PARV2_193,PARV2_204,PARV2_240,PARV2_193 → PARV2_204 → PARV2_240 → PARV2_193,2.064,0.688,3_pares
PARV2_129,PARV2_166,PARV2_203,PARV2_129 → PARV2_166 → PARV2_203 → PARV2_129,2.064,0.688,3_pares
PARV2_049,PARV2_159,PARV2_163,PARV2_049 → PARV2_159 → PARV2_163 → PARV2_049,2.064,0.688,3_pares
PARV2_021,PARV2_193,PARV2_239,PARV2_021 → PARV2_193 → PARV2_239 → PARV2_021,2.064,0.688,3_pares
PARV2_098,PARV2_159,PARV2_187,PARV2_098 → PARV2_159 → PARV2_187 → PARV2_098,2.064,0.688,3_pares
PARV2_070,PARV2_204,PARV2_108,PARV2_070 → PARV2_204 → PARV2_108 → PARV2_070,2.064,0.688,3_pares
PARV2_049,PARV2_079,PARV2_171,PARV2_049 → PARV2_079 → PARV2_171 → PARV2_049,2.064,0.688,3_pares
PARV2_069,PARV2_239,PARV2_204,PARV2_069 → PARV2_239 → PARV2_204 → PARV2_069,2.064,0.688,3_pares
PARV2_179,PARV2_193,PARV2_204,PARV2_179 → PARV2_193 → PARV2_204 → PARV2_179,2.064,0.688,3_pares
PARV2_116,PARV2_171,PARV2_166,PARV2_116 → PARV2_171 → PARV2_166 → PARV2_116,2.064,0.688,3_pares
PARV2_006,PARV2_136,PARV2_074,PARV2_006 → PARV2_136 → PARV2_074 → PARV2_006,2.064,0.688,3_pares
PARV2_032,PARV2_198,PARV2_074,PARV2_032 → PARV2_198 → PARV2_074 → PARV2_032,2.064,0.688,3_pares
PARV2_032,PARV2_129,PARV2_166,PARV2_032 → PARV2_129 → PARV2_166 → PARV2_032,2.064,0.688,3_pares
PARV2_074,PARV2_187,PARV2_108,PARV2_074 → PARV2_187 → PARV2_108 → PARV2_074,2.063,0.688,3_pares
PARV2_001,PARV2_111,PARV2_063,PARV2_001 → PARV2_111 → PARV2_063 → PARV2_001,2.063,0.688,3_pares
PARV2_133,PARV2_134,PARV2_166,PARV2_133 → PARV2_134 → PARV2_166 → PARV2_133,2.063,0.688,3_pares
PARV2_193,PARV2_216,PARV2_219,PARV2_193 → PARV2_216 → PARV2_219 → PARV2_193,2.063,0.688,3_pares
PARV2_166,PARV2_193,PARV2_200,PARV2_166 → PARV2_193 → PARV2_200 → PARV2_166,2.063,0.688,3_pares
PARV2_193,PARV2_204,PARV2_246,PARV2_193 → PARV2_204 → PARV2_246 → PARV2_193,2.063,0.688,3_pares
PARV2_049,PARV2_182,PARV2_111,PARV2_049 → PARV2_182 → PARV2_111 → PARV2_049,2.063,0.688,3_pares
PARV2_065,PARV2_193,PARV2_069,PARV2_065 → PARV2_193 → PARV2_069 → PARV2_065,2.063,0.688,3_pares
PARV2_087,PARV2_129,PARV2_216,PARV2_087 → PARV2_129 → PARV2_216 → PARV2_087,2.063,0.688,3_pares
PARV2_171,PARV2_218,PARV2_181,PARV2_171 → PARV2_218 → PARV2_181 → PARV2_171,2.063,0.688,3_pares
PARV2_074,PARV2_087,PARV2_108,PARV2_074 → PARV2_087 → PARV2_108 → PARV2_074,2.063,0.688,3_pares
PARV2_133,PARV2_171,PARV2_166,PARV2_133 → PARV2_171 → PARV2_166 → PARV2_133,2.063,0.688,3_pares
PARV2_127,PARV2_204,PARV2_142,PARV2_127 → PARV2_204 → PARV2_142 → PARV2_127,2.063,0.688,3_pares
PARV2_032,PARV2_087,PARV2_074,PARV2_032 → PARV2_087 → PARV2_074 → PARV2_032,2.063,0.688,3_pares
PARV2_065,PARV2_179,PARV2_069,PARV2_065 → PARV2_179 → PARV2_069 → PARV2_065,2.063,0.688,3_pares
PARV2_204,PARV2_232,PARV2_239,PARV2_204 → PARV2_232 → PARV2_239 → PARV2_204,2.062,0.687,3_pares
PARV2_216,PARV2_239,PARV2_219,PARV2_216 → PARV2_239 → PARV2_219 → PARV2_216,2.062,0.687,3_pares
PARV2_006,PARV2_159,PARV2_198,PARV2_006 → PARV2_159 → PARV2_198 → PARV2_006,2.062,0.687,3_pares
PARV2_065,PARV2_239,PARV2_069,PARV2_065 → PARV2_239 → PARV2_069 → PARV2_065,2.062,0.687,3_pares
PARV2_032,PARV2_207,PARV2_166,PARV2_032 → PARV2_207 → PARV2_166 → PARV2_032,2.062,0.687,3_pares
PARV2_166,PARV2_239,PARV2_209,PARV2_166 → PARV2_239 → PARV2_209 → PARV2_166,2.062,0.687,3_pares
PARV2_127,PARV2_204,PARV2_179,PARV2_127 → PARV2_204 → PARV2_179 → PARV2_127,2.062,0.687,3_pares
PARV2_032,PARV2_141,PARV2_166,PARV2_032 → PARV2_141 → PARV2_166 → PARV2_032,2.062,0.687,3_pares
PARV2_074,PARV2_204,PARV2_194,PARV2_074 → PARV2_204 → PARV2_194 → PARV2_074,2.062,0.687,3_pares
PARV2_032,PARV2_159,PARV2_235,PARV2_032 → PARV2_159 → PARV2_235 → PARV2_032,2.062,0.687,3_pares
PARV2_125,PARV2_207,PARV2_159,PARV2_125 → PARV2_207 → PARV2_159 → PARV2_125,2.062,0.687,3_pares
PARV2_006,PARV2_244,PARV2_159,PARV2_006 → PARV2_244 → PARV2_159 → PARV2_006,2.062,0.687,3_pares
PARV2_102,PARV2_193,PARV2_239,PARV2_102 → PARV2_193 → PARV2_239 → PARV2_102,2.062,0.687,3_pares
PARV2_074,PARV2_204,PARV2_135,PARV2_074 → PARV2_204 → PARV2_135 → PARV2_074,2.062,0.687,3_pares
PARV2_032,PARV2_051,PARV2_074,PARV2_032 → PARV2_051 → PARV2_074 → PARV2_032,2.062,0.687,3_pares
PARV2_105,PARV2_193,PARV2_204,PARV2_105 → PARV2_193 → PARV2_204 → PARV2_105,2.062,0.687,3_pares
PARV2_006,PARV2_065,PARV2_079,PARV2_006 → PARV2_065 → PARV2_079 → PARV2_006,2.062,0.687,3_pares
PARV2_063,PARV2_193,PARV2_204,PARV2_063 → PARV2_193 → PARV2_204 → PARV2_063,2.062,0.687,3_pares
PARV2_006,PARV2_013,PARV2_014,PARV2_006 → PARV2_013 → PARV2_014 → PARV2_006,2.062,0.687,3_pares
PARV2_134,PARV2_159,PARV2_235,PARV2_134 → PARV2_159 → PARV2_235 → PARV2_134,2.062,0.687,3_pares
PARV2_074,PARV2_159,PARV2_135,PARV2_074 → PARV2_159 → PARV2_135 → PARV2_074,2.061,0.687,3_pares
PARV2_159,PARV2_235,PARV2_164,PARV2_159 → PARV2_235 → PARV2_164 → PARV2_159,2.061,0.687,3_pares
PARV2_074,PARV2_219,PARV2_182,PARV2_074 → PARV2_219 → PARV2_182 → PARV2_074,2.061,0.687,3_pares
PARV2_177,PARV2_204,PARV2_202,PARV2_177 → PARV2_204 → PARV2_202 → PARV2_177,2.061,0.687,3_pares
PARV2_014,PARV2_138,PARV2_166,PARV2_014 → PARV2_138 → PARV2_166 → PARV2_014,2.061,0.687,3_pares
PARV2_108,PARV2_129,PARV2_198,PARV2_108 → PARV2_129 → PARV2_198 → PARV2_108,2.061,0.687,3_pares
PARV2_107,PARV2_171,PARV2_159,PARV2_107 → PARV2_171 → PARV2_159 → PARV2_107,2.061,0.687,3_pares
PARV2_074,PARV2_235,PARV2_219,PARV2_074 → PARV2_235 → PARV2_219 → PARV2_074,2.061,0.687,3_pares
PARV2_133,PARV2_159,PARV2_235,PARV2_133 → PARV2_159 → PARV2_235 → PARV2_133,2.061,0.687,3_pares
PARV2_049,PARV2_239,PARV2_139,PARV2_049 → PARV2_239 → PARV2_139 → PARV2_049,2.061,0.687,3_pares
PARV2_107,PARV2_179,PARV2_200,PARV2_107 → PARV2_179 → PARV2_200 → PARV2_107,2.061,0.687,3_pares
PARV2_125,PARV2_212,PARV2_159,PARV2_125 → PARV2_212 → PARV2_159 → PARV2_125,2.061,0.687,3_pares
PARV2_129,PARV2_200,PARV2_188,PARV2_129 → PARV2_200 → PARV2_188 → PARV2_129,2.061,0.687,3_pares
PARV2_006,PARV2_181,PARV2_204,PARV2_006 → PARV2_181 → PARV2_204 → PARV2_006,2.061,0.687,3_pares
PARV2_051,PARV2_171,PARV2_159,PARV2_051 → PARV2_171 → PARV2_159 → PARV2_051,2.061,0.687,3_pares
PARV2_108,PARV2_219,PARV2_198,PARV2_108 → PARV2_219 → PARV2_198 → PARV2_108,2.061,0.687,3_pares
PARV2_032,PARV2_049,PARV2_239,PARV2_032 → PARV2_049 → PARV2_239 → PARV2_032,2.061,0.687,3_pares
PARV2_028,PARV2_127,PARV2_166,PARV2_028 → PARV2_127 → PARV2_166 → PARV2_028,2.06,0.687,3_pares
PARV2_090,PARV2_202,PARV2_159,PARV2_090 → PARV2_202 → PARV2_159 → PARV2_090,2.06,0.687,3_pares
PARV2_105,PARV2_200,PARV2_204,PARV2_105 → PARV2_200 → PARV2_204 → PARV2_105,2.06,0.687,3_pares
PARV2_159,PARV2_240,PARV2_171,PARV2_159 → PARV2_240 → PARV2_171 → PARV2_159,2.06,0.687,3_pares
PARV2_006,PARV2_074,PARV2_198,PARV2_006 → PARV2_074 → PARV2_198 → PARV2_006,2.06,0.687,3_pares
PARV2_006,PARV2_139,PARV2_166,PARV2_006 → PARV2_139 → PARV2_166 → PARV2_006,2.06,0.687,3_pares
PARV2_129,PARV2_193,PARV2_239,PARV2_129 → PARV2_193 → PARV2_239 → PARV2_129,2.06,0.687,3_pares
PARV2_125,PARV2_127,PARV2_159,PARV2_125 → PARV2_127 → PARV2_159 → PARV2_125,2.06,0.687,3_pares
PARV2_006,PARV2_166,PARV2_188,PARV2_006 → PARV2_166 → PARV2_188 → PARV2_006,2.06,0.687,3_pares
PARV2_108,PARV2_239,PARV2_146,PARV2_108 → PARV2_239 → PARV2_146 → PARV2_108,2.06,0.687,3_pares
PARV2_069,PARV2_074,PARV2_239,PARV2_069 → PARV2_074 → PARV2_239 → PARV2_069,2.06,0.687,3_pares
PARV2_074,PARV2_204,PARV2_239,PARV2_074 → PARV2_204 → PARV2_239 → PARV2_074,2.06,0.687,3_pares
PARV2_068,PARV2_179,PARV2_166,PARV2_068 → PARV2_179 → PARV2_166 → PARV2_068,2.06,0.687,3_pares
PARV2_159,PARV2_200,PARV2_204,PARV2_159 → PARV2_200 → PARV2_204 → PARV2_159,2.06,0.687,3_pares
PARV2_138,PARV2_166,PARV2_204,PARV2_138 → PARV2_166 → PARV2_204 → PARV2_138,2.06,0.687,3_pares
PARV2_129,PARV2_200,PARV2_192,PARV2_129 → PARV2_200 → PARV2_192 → PARV2_129,2.06,0.687,3_pares
PARV2_032,PARV2_105,PARV2_174,PARV2_032 → PARV2_105 → PARV2_174 → PARV2_032,2.059,0.686,3_pares
PARV2_074,PARV2_166,PARV2_209,PARV2_074 → PARV2_166 → PARV2_209 → PARV2_074,2.059,0.686,3_pares
PARV2_063,PARV2_210,PARV2_166,PARV2_063 → PARV2_210 → PARV2_166 → PARV2_063,2.059,0.686,3_pares
PARV2_013,PARV2_159,PARV2_225,PARV2_013 → PARV2_159 → PARV2_225 → PARV2_013,2.059,0.686,3_pares
PARV2_116,PARV2_142,PARV2_204,PARV2_116 → PARV2_142 → PARV2_204 → PARV2_116,2.059,0.686,3_pares
PARV2_013,PARV2_069,PARV2_074,PARV2_013 → PARV2_069 → PARV2_074 → PARV2_013,2.059,0.686,3_pares
PARV2_006,PARV2_159,PARV2_235,PARV2_006 → PARV2_159 → PARV2_235 → PARV2_006,2.059,0.686,3_pares
PARV2_116,PARV2_193,PARV2_204,PARV2_116 → PARV2_193 → PARV2_204 → PARV2_116,2.059,0.686,3_pares
PARV2_006,PARV2_235,PARV2_135,PARV2_006 → PARV2_235 → PARV2_135 → PARV2_006,2.059,0.686,3_pares
PARV2_049,PARV2_239,PARV2_074,PARV2_049 → PARV2_239 → PARV2_074 → PARV2_049,2.059,0.686,3_pares
PARV2_110,PARV2_239,PARV2_166,PARV2_110 → PARV2_239 → PARV2_166 → PARV2_110,2.059,0.686,3_pares
PARV2_065,PARV2_202,PARV2_069,PARV2_065 → PARV2_202 → PARV2_069 → PARV2_065,2.059,0.686,3_pares
PARV2_171,PARV2_204,PARV2_182,PARV2_171 → PARV2_204 → PARV2_182 → PARV2_171,2.059,0.686,3_pares
PARV2_108,PARV2_179,PARV2_204,PARV2_108 → PARV2_179 → PARV2_204 → PARV2_108,2.058,0.686,3_pares
PARV2_006,PARV2_164,PARV2_166,PARV2_006 → PARV2_164 → PARV2_166 → PARV2_006,2.058,0.686,3_pares
PARV2_006,PARV2_013,PARV2_198,PARV2_006 → PARV2_013 → PARV2_198 → PARV2_006,2.058,0.686,3_pares
PARV2_006,PARV2_090,PARV2_146,PARV2_006 → PARV2_090 → PARV2_146 → PARV2_006,2.058,0.686,3_pares
PARV2_006,PARV2_049,PARV2_239,PARV2_006 → PARV2_049 → PARV2_239 → PARV2_006,2.058,0.686,3_pares
PARV2_102,PARV2_166,PARV2_239,PARV2_102 → PARV2_166 → PARV2_239 → PARV2_102,2.058,0.686,3_pares
PARV2_013,PARV2_239,PARV2_170,PARV2_013 → PARV2_239 → PARV2_170 → PARV2_013,2.058,0.686,3_pares
PARV2_074,PARV2_219,PARV2_198,PARV2_074 → PARV2_219 → PARV2_198 → PARV2_074,2.058,0.686,3_pares
PARV2_166,PARV2_235,PARV2_244,PARV2_166 → PARV2_235 → PARV2_244 → PARV2_166,2.058,0.686,3_pares
PARV2_006,PARV2_049,PARV2_203,PARV2_006 → PARV2_049 → PARV2_203 → PARV2_006,2.058,0.686,3_pares
PARV2_122,PARV2_159,PARV2_125,PARV2_122 → PARV2_159 → PARV2_125 → PARV2_122,2.058,0.686,3_pares
PARV2_006,PARV2_207,PARV2_166,PARV2_006 → PARV2_207 → PARV2_166 → PARV2_006,2.058,0.686,3_pares
PARV2_004,PARV2_074,PARV2_166,PARV2_004 → PARV2_074 → PARV2_166 → PARV2_004,2.057,0.686,3_pares
PARV2_102,PARV2_110,PARV2_239,PARV2_102 → PARV2_110 → PARV2_239 → PARV2_102,2.057,0.686,3_pares
PARV2_074,PARV2_239,PARV2_143,PARV2_074 → PARV2_239 → PARV2_143 → PARV2_074,2.057,0.686,3_pares
PARV2_006,PARV2_184,PARV2_074,PARV2_006 → PARV2_184 → PARV2_074 → PARV2_006,2.057,0.686,3_pares
PARV2_070,PARV2_142,PARV2_166,PARV2_070 → PARV2_142 → PARV2_166 → PARV2_070,2.057,0.686,3_pares
PARV2_049,PARV2_239,PARV2_163,PARV2_049 → PARV2_239 → PARV2_163 → PARV2_049,2.057,0.686,3_pares
