par_1,par_2,par_3,fluxo,score_total,score_medio,tipo_ciclo
PAR_070,PAR_109,PAR_080,PAR_070 → PAR_109 → PAR_080 → PAR_070,2.142,0.714,3_pares
PAR_037,PAR_103,PAR_039,PAR_037 → PAR_103 → PAR_039 → PAR_037,2.142,0.714,3_pares
PAR_052,PAR_101,PAR_075,PAR_052 → PAR_101 → PAR_075 → PAR_052,2.142,0.714,3_pares
PAR_018,PAR_028,PAR_034,PAR_018 → PAR_028 → PAR_034 → PAR_018,2.142,0.714,3_pares
PAR_012,PAR_109,PAR_103,PAR_012 → PAR_109 → PAR_103 → PAR_012,2.142,0.714,3_pares
PAR_029,PAR_070,PAR_039,PAR_029 → PAR_070 → PAR_039 → PAR_029,2.142,0.714,3_pares
PAR_007,PAR_120,PAR_061,PAR_007 → PAR_120 → PAR_061 → PAR_007,2.142,0.714,3_pares
PAR_051,PAR_053,PAR_075,PAR_051 → PAR_053 → PAR_075 → PAR_051,2.142,0.714,3_pares
PAR_046,PAR_103,PAR_075,PAR_046 → PAR_103 → PAR_075 → PAR_046,2.142,0.714,3_pares
PAR_046,PAR_052,PAR_075,PAR_046 → PAR_052 → PAR_075 → PAR_046,2.142,0.714,3_pares
PAR_028,PAR_094,PAR_046,PAR_028 → PAR_094 → PAR_046 → PAR_028,2.142,0.714,3_pares
PAR_005,PAR_021,PAR_064,PAR_005 → PAR_021 → PAR_064 → PAR_005,2.142,0.714,3_pares
PAR_003,PAR_109,PAR_061,PAR_003 → PAR_109 → PAR_061 → PAR_003,2.142,0.714,3_pares
PAR_021,PAR_046,PAR_070,PAR_021 → PAR_046 → PAR_070 → PAR_021,2.142,0.714,3_pares
PAR_003,PAR_109,PAR_101,PAR_003 → PAR_109 → PAR_101 → PAR_003,2.142,0.714,3_pares
PAR_034,PAR_037,PAR_070,PAR_034 → PAR_037 → PAR_070 → PAR_034,2.142,0.714,3_pares
PAR_014,PAR_094,PAR_021,PAR_014 → PAR_094 → PAR_021 → PAR_014,2.141,0.714,3_pares
PAR_075,PAR_103,PAR_094,PAR_075 → PAR_103 → PAR_094 → PAR_075,2.141,0.714,3_pares
PAR_030,PAR_037,PAR_075,PAR_030 → PAR_037 → PAR_075 → PAR_030,2.141,0.714,3_pares
PAR_061,PAR_110,PAR_069,PAR_061 → PAR_110 → PAR_069 → PAR_061,2.141,0.714,3_pares
PAR_012,PAR_061,PAR_067,PAR_012 → PAR_061 → PAR_067 → PAR_012,2.141,0.714,3_pares
PAR_021,PAR_070,PAR_080,PAR_021 → PAR_070 → PAR_080 → PAR_021,2.141,0.714,3_pares
PAR_002,PAR_012,PAR_037,PAR_002 → PAR_012 → PAR_037 → PAR_002,2.141,0.714,3_pares
PAR_012,PAR_034,PAR_028,PAR_012 → PAR_034 → PAR_028 → PAR_012,2.141,0.714,3_pares
PAR_039,PAR_070,PAR_109,PAR_039 → PAR_070 → PAR_109 → PAR_039,2.141,0.714,3_pares
PAR_029,PAR_094,PAR_055,PAR_029 → PAR_094 → PAR_055 → PAR_029,2.141,0.714,3_pares
PAR_069,PAR_109,PAR_073,PAR_069 → PAR_109 → PAR_073 → PAR_069,2.141,0.714,3_pares
PAR_069,PAR_070,PAR_101,PAR_069 → PAR_070 → PAR_101 → PAR_069,2.141,0.714,3_pares
PAR_034,PAR_075,PAR_070,PAR_034 → PAR_075 → PAR_070 → PAR_034,2.141,0.714,3_pares
PAR_028,PAR_061,PAR_045,PAR_028 → PAR_061 → PAR_045 → PAR_028,2.141,0.714,3_pares
PAR_003,PAR_094,PAR_029,PAR_003 → PAR_094 → PAR_029 → PAR_003,2.141,0.714,3_pares
PAR_037,PAR_109,PAR_069,PAR_037 → PAR_109 → PAR_069 → PAR_037,2.141,0.714,3_pares
PAR_003,PAR_092,PAR_099,PAR_003 → PAR_092 → PAR_099 → PAR_003,2.141,0.714,3_pares
PAR_034,PAR_070,PAR_096,PAR_034 → PAR_070 → PAR_096 → PAR_034,2.141,0.714,3_pares
PAR_037,PAR_110,PAR_075,PAR_037 → PAR_110 → PAR_075 → PAR_037,2.141,0.714,3_pares
PAR_055,PAR_075,PAR_064,PAR_055 → PAR_075 → PAR_064 → PAR_055,2.141,0.714,3_pares
PAR_003,PAR_027,PAR_055,PAR_003 → PAR_027 → PAR_055 → PAR_003,2.141,0.714,3_pares
PAR_007,PAR_099,PAR_061,PAR_007 → PAR_099 → PAR_061 → PAR_007,2.141,0.714,3_pares
PAR_012,PAR_109,PAR_058,PAR_012 → PAR_109 → PAR_058 → PAR_012,2.14,0.713,3_pares
PAR_070,PAR_076,PAR_094,PAR_070 → PAR_076 → PAR_094 → PAR_070,2.14,0.713,3_pares
PAR_037,PAR_109,PAR_093,PAR_037 → PAR_109 → PAR_093 → PAR_037,2.14,0.713,3_pares
PAR_003,PAR_021,PAR_046,PAR_003 → PAR_021 → PAR_046 → PAR_003,2.14,0.713,3_pares
PAR_003,PAR_021,PAR_061,PAR_003 → PAR_021 → PAR_061 → PAR_003,2.14,0.713,3_pares
PAR_021,PAR_070,PAR_094,PAR_021 → PAR_070 → PAR_094 → PAR_021,2.14,0.713,3_pares
PAR_012,PAR_021,PAR_052,PAR_012 → PAR_021 → PAR_052 → PAR_012,2.14,0.713,3_pares
PAR_021,PAR_046,PAR_055,PAR_021 → PAR_046 → PAR_055 → PAR_021,2.14,0.713,3_pares
PAR_003,PAR_075,PAR_064,PAR_003 → PAR_075 → PAR_064 → PAR_003,2.14,0.713,3_pares
PAR_029,PAR_069,PAR_075,PAR_029 → PAR_069 → PAR_075 → PAR_029,2.14,0.713,3_pares
PAR_005,PAR_070,PAR_027,PAR_005 → PAR_070 → PAR_027 → PAR_005,2.14,0.713,3_pares
PAR_003,PAR_075,PAR_099,PAR_003 → PAR_075 → PAR_099 → PAR_003,2.14,0.713,3_pares
PAR_027,PAR_075,PAR_117,PAR_027 → PAR_075 → PAR_117 → PAR_027,2.14,0.713,3_pares
PAR_005,PAR_021,PAR_034,PAR_005 → PAR_021 → PAR_034 → PAR_005,2.14,0.713,3_pares
PAR_003,PAR_111,PAR_073,PAR_003 → PAR_111 → PAR_073 → PAR_003,2.14,0.713,3_pares
PAR_037,PAR_058,PAR_094,PAR_037 → PAR_058 → PAR_094 → PAR_037,2.14,0.713,3_pares
PAR_015,PAR_080,PAR_061,PAR_015 → PAR_080 → PAR_061 → PAR_015,2.14,0.713,3_pares
PAR_012,PAR_015,PAR_099,PAR_012 → PAR_015 → PAR_099 → PAR_012,2.139,0.713,3_pares
PAR_029,PAR_037,PAR_073,PAR_029 → PAR_037 → PAR_073 → PAR_029,2.139,0.713,3_pares
PAR_021,PAR_039,PAR_070,PAR_021 → PAR_039 → PAR_070 → PAR_021,2.139,0.713,3_pares
PAR_038,PAR_094,PAR_070,PAR_038 → PAR_094 → PAR_070 → PAR_038,2.139,0.713,3_pares
PAR_037,PAR_046,PAR_085,PAR_037 → PAR_046 → PAR_085 → PAR_037,2.139,0.713,3_pares
PAR_003,PAR_034,PAR_092,PAR_003 → PAR_034 → PAR_092 → PAR_003,2.139,0.713,3_pares
PAR_069,PAR_075,PAR_076,PAR_069 → PAR_075 → PAR_076 → PAR_069,2.139,0.713,3_pares
PAR_037,PAR_046,PAR_090,PAR_037 → PAR_046 → PAR_090 → PAR_037,2.139,0.713,3_pares
PAR_015,PAR_101,PAR_094,PAR_015 → PAR_101 → PAR_094 → PAR_015,2.139,0.713,3_pares
PAR_028,PAR_070,PAR_065,PAR_028 → PAR_070 → PAR_065 → PAR_028,2.139,0.713,3_pares
PAR_034,PAR_092,PAR_055,PAR_034 → PAR_092 → PAR_055 → PAR_034,2.139,0.713,3_pares
PAR_037,PAR_101,PAR_090,PAR_037 → PAR_101 → PAR_090 → PAR_037,2.139,0.713,3_pares
PAR_012,PAR_029,PAR_070,PAR_012 → PAR_029 → PAR_070 → PAR_012,2.139,0.713,3_pares
PAR_005,PAR_109,PAR_046,PAR_005 → PAR_109 → PAR_046 → PAR_005,2.139,0.713,3_pares
PAR_037,PAR_085,PAR_061,PAR_037 → PAR_085 → PAR_061 → PAR_037,2.139,0.713,3_pares
PAR_003,PAR_034,PAR_075,PAR_003 → PAR_034 → PAR_075 → PAR_003,2.139,0.713,3_pares
PAR_061,PAR_070,PAR_120,PAR_061 → PAR_070 → PAR_120 → PAR_061,2.139,0.713,3_pares
PAR_021,PAR_069,PAR_037,PAR_021 → PAR_069 → PAR_037 → PAR_021,2.139,0.713,3_pares
PAR_021,PAR_073,PAR_069,PAR_021 → PAR_073 → PAR_069 → PAR_021,2.139,0.713,3_pares
PAR_090,PAR_094,PAR_093,PAR_090 → PAR_094 → PAR_093 → PAR_090,2.138,0.713,3_pares
PAR_005,PAR_075,PAR_064,PAR_005 → PAR_075 → PAR_064 → PAR_005,2.138,0.713,3_pares
PAR_003,PAR_109,PAR_039,PAR_003 → PAR_109 → PAR_039 → PAR_003,2.138,0.713,3_pares
PAR_012,PAR_094,PAR_067,PAR_012 → PAR_094 → PAR_067 → PAR_012,2.138,0.713,3_pares
PAR_003,PAR_094,PAR_076,PAR_003 → PAR_094 → PAR_076 → PAR_003,2.138,0.713,3_pares
PAR_061,PAR_103,PAR_080,PAR_061 → PAR_103 → PAR_080 → PAR_061,2.138,0.713,3_pares
PAR_037,PAR_046,PAR_070,PAR_037 → PAR_046 → PAR_070 → PAR_037,2.138,0.713,3_pares
PAR_003,PAR_038,PAR_094,PAR_003 → PAR_038 → PAR_094 → PAR_003,2.138,0.713,3_pares
PAR_026,PAR_101,PAR_075,PAR_026 → PAR_101 → PAR_075 → PAR_026,2.138,0.713,3_pares
PAR_037,PAR_101,PAR_070,PAR_037 → PAR_101 → PAR_070 → PAR_037,2.138,0.713,3_pares
PAR_028,PAR_037,PAR_051,PAR_028 → PAR_037 → PAR_051 → PAR_028,2.138,0.713,3_pares
PAR_037,PAR_109,PAR_073,PAR_037 → PAR_109 → PAR_073 → PAR_037,2.138,0.713,3_pares
PAR_028,PAR_094,PAR_045,PAR_028 → PAR_094 → PAR_045 → PAR_028,2.138,0.713,3_pares
PAR_075,PAR_101,PAR_090,PAR_075 → PAR_101 → PAR_090 → PAR_075,2.138,0.713,3_pares
PAR_021,PAR_037,PAR_093,PAR_021 → PAR_037 → PAR_093 → PAR_021,2.138,0.713,3_pares
PAR_052,PAR_057,PAR_070,PAR_052 → PAR_057 → PAR_070 → PAR_052,2.137,0.712,3_pares
PAR_061,PAR_110,PAR_075,PAR_061 → PAR_110 → PAR_075 → PAR_061,2.137,0.712,3_pares
PAR_026,PAR_103,PAR_070,PAR_026 → PAR_103 → PAR_070 → PAR_026,2.137,0.712,3_pares
PAR_007,PAR_094,PAR_034,PAR_007 → PAR_094 → PAR_034 → PAR_007,2.137,0.712,3_pares
PAR_090,PAR_094,PAR_120,PAR_090 → PAR_094 → PAR_120 → PAR_090,2.137,0.712,3_pares
PAR_021,PAR_037,PAR_073,PAR_021 → PAR_037 → PAR_073 → PAR_021,2.137,0.712,3_pares
PAR_007,PAR_094,PAR_099,PAR_007 → PAR_094 → PAR_099 → PAR_007,2.137,0.712,3_pares
PAR_037,PAR_053,PAR_070,PAR_037 → PAR_053 → PAR_070 → PAR_037,2.137,0.712,3_pares
PAR_053,PAR_057,PAR_092,PAR_053 → PAR_057 → PAR_092 → PAR_053,2.137,0.712,3_pares
PAR_037,PAR_046,PAR_110,PAR_037 → PAR_046 → PAR_110 → PAR_037,2.137,0.712,3_pares
PAR_073,PAR_075,PAR_109,PAR_073 → PAR_075 → PAR_109 → PAR_073,2.137,0.712,3_pares
PAR_021,PAR_037,PAR_096,PAR_021 → PAR_037 → PAR_096 → PAR_021,2.137,0.712,3_pares
PAR_046,PAR_085,PAR_075,PAR_046 → PAR_085 → PAR_075 → PAR_046,2.137,0.712,3_pares
PAR_024,PAR_037,PAR_070,PAR_024 → PAR_037 → PAR_070 → PAR_024,2.136,0.712,3_pares
PAR_003,PAR_070,PAR_015,PAR_003 → PAR_070 → PAR_015 → PAR_003,2.136,0.712,3_pares
PAR_037,PAR_103,PAR_068,PAR_037 → PAR_103 → PAR_068 → PAR_037,2.136,0.712,3_pares
PAR_012,PAR_037,PAR_058,PAR_012 → PAR_037 → PAR_058 → PAR_012,2.136,0.712,3_pares
PAR_028,PAR_070,PAR_109,PAR_028 → PAR_070 → PAR_109 → PAR_028,2.136,0.712,3_pares
PAR_053,PAR_057,PAR_111,PAR_053 → PAR_057 → PAR_111 → PAR_053,2.136,0.712,3_pares
PAR_057,PAR_111,PAR_094,PAR_057 → PAR_111 → PAR_094 → PAR_057,2.136,0.712,3_pares
PAR_053,PAR_073,PAR_070,PAR_053 → PAR_073 → PAR_070 → PAR_053,2.136,0.712,3_pares
PAR_037,PAR_109,PAR_075,PAR_037 → PAR_109 → PAR_075 → PAR_037,2.136,0.712,3_pares
PAR_002,PAR_012,PAR_061,PAR_002 → PAR_012 → PAR_061 → PAR_002,2.136,0.712,3_pares
PAR_034,PAR_070,PAR_101,PAR_034 → PAR_070 → PAR_101 → PAR_034,2.136,0.712,3_pares
PAR_003,PAR_021,PAR_039,PAR_003 → PAR_021 → PAR_039 → PAR_003,2.136,0.712,3_pares
PAR_061,PAR_069,PAR_109,PAR_061 → PAR_069 → PAR_109 → PAR_061,2.136,0.712,3_pares
PAR_068,PAR_070,PAR_109,PAR_068 → PAR_070 → PAR_109 → PAR_068,2.136,0.712,3_pares
PAR_070,PAR_094,PAR_120,PAR_070 → PAR_094 → PAR_120 → PAR_070,2.136,0.712,3_pares
PAR_021,PAR_075,PAR_093,PAR_021 → PAR_075 → PAR_093 → PAR_021,2.136,0.712,3_pares
PAR_037,PAR_053,PAR_110,PAR_037 → PAR_053 → PAR_110 → PAR_037,2.136,0.712,3_pares
PAR_021,PAR_109,PAR_046,PAR_021 → PAR_109 → PAR_046 → PAR_021,2.136,0.712,3_pares
PAR_029,PAR_075,PAR_034,PAR_029 → PAR_075 → PAR_034 → PAR_029,2.136,0.712,3_pares
PAR_007,PAR_101,PAR_061,PAR_007 → PAR_101 → PAR_061 → PAR_007,2.136,0.712,3_pares
PAR_027,PAR_069,PAR_070,PAR_027 → PAR_069 → PAR_070 → PAR_027,2.136,0.712,3_pares
PAR_021,PAR_073,PAR_075,PAR_021 → PAR_073 → PAR_075 → PAR_021,2.135,0.712,3_pares
PAR_003,PAR_111,PAR_046,PAR_003 → PAR_111 → PAR_046 → PAR_003,2.135,0.712,3_pares
PAR_027,PAR_093,PAR_070,PAR_027 → PAR_093 → PAR_070 → PAR_027,2.135,0.712,3_pares
PAR_012,PAR_109,PAR_030,PAR_012 → PAR_109 → PAR_030 → PAR_012,2.135,0.712,3_pares
PAR_037,PAR_053,PAR_055,PAR_037 → PAR_053 → PAR_055 → PAR_037,2.135,0.712,3_pares
PAR_024,PAR_090,PAR_075,PAR_024 → PAR_090 → PAR_075 → PAR_024,2.135,0.712,3_pares
PAR_053,PAR_070,PAR_111,PAR_053 → PAR_070 → PAR_111 → PAR_053,2.135,0.712,3_pares
PAR_069,PAR_109,PAR_101,PAR_069 → PAR_109 → PAR_101 → PAR_069,2.135,0.712,3_pares
PAR_037,PAR_112,PAR_061,PAR_037 → PAR_112 → PAR_061 → PAR_037,2.135,0.712,3_pares
PAR_030,PAR_075,PAR_046,PAR_030 → PAR_075 → PAR_046 → PAR_030,2.135,0.712,3_pares
PAR_053,PAR_075,PAR_070,PAR_053 → PAR_075 → PAR_070 → PAR_053,2.135,0.712,3_pares
PAR_024,PAR_075,PAR_070,PAR_024 → PAR_075 → PAR_070 → PAR_024,2.135,0.712,3_pares
PAR_046,PAR_110,PAR_075,PAR_046 → PAR_110 → PAR_075 → PAR_046,2.135,0.712,3_pares
PAR_052,PAR_085,PAR_070,PAR_052 → PAR_085 → PAR_070 → PAR_052,2.135,0.712,3_pares
PAR_069,PAR_075,PAR_097,PAR_069 → PAR_075 → PAR_097 → PAR_069,2.134,0.711,3_pares
PAR_057,PAR_070,PAR_058,PAR_057 → PAR_070 → PAR_058 → PAR_057,2.134,0.711,3_pares
PAR_021,PAR_028,PAR_070,PAR_021 → PAR_028 → PAR_070 → PAR_021,2.134,0.711,3_pares
PAR_046,PAR_070,PAR_061,PAR_046 → PAR_070 → PAR_061 → PAR_046,2.134,0.711,3_pares
PAR_003,PAR_027,PAR_069,PAR_003 → PAR_027 → PAR_069 → PAR_003,2.134,0.711,3_pares
PAR_061,PAR_070,PAR_101,PAR_061 → PAR_070 → PAR_101 → PAR_061,2.134,0.711,3_pares
PAR_003,PAR_012,PAR_038,PAR_003 → PAR_012 → PAR_038 → PAR_003,2.134,0.711,3_pares
PAR_053,PAR_055,PAR_092,PAR_053 → PAR_055 → PAR_092 → PAR_053,2.134,0.711,3_pares
PAR_034,PAR_070,PAR_080,PAR_034 → PAR_070 → PAR_080 → PAR_034,2.134,0.711,3_pares
PAR_012,PAR_075,PAR_102,PAR_012 → PAR_075 → PAR_102 → PAR_012,2.134,0.711,3_pares
PAR_037,PAR_110,PAR_094,PAR_037 → PAR_110 → PAR_094 → PAR_037,2.134,0.711,3_pares
PAR_052,PAR_068,PAR_075,PAR_052 → PAR_068 → PAR_075 → PAR_052,2.134,0.711,3_pares
PAR_027,PAR_037,PAR_070,PAR_027 → PAR_037 → PAR_070 → PAR_027,2.134,0.711,3_pares
PAR_039,PAR_094,PAR_103,PAR_039 → PAR_094 → PAR_103 → PAR_039,2.134,0.711,3_pares
PAR_021,PAR_061,PAR_069,PAR_021 → PAR_061 → PAR_069 → PAR_021,2.134,0.711,3_pares
PAR_034,PAR_070,PAR_094,PAR_034 → PAR_070 → PAR_094 → PAR_034,2.134,0.711,3_pares
PAR_046,PAR_093,PAR_109,PAR_046 → PAR_093 → PAR_109 → PAR_046,2.133,0.711,3_pares
PAR_021,PAR_061,PAR_093,PAR_021 → PAR_061 → PAR_093 → PAR_021,2.133,0.711,3_pares
PAR_003,PAR_070,PAR_052,PAR_003 → PAR_070 → PAR_052 → PAR_003,2.133,0.711,3_pares
PAR_064,PAR_093,PAR_075,PAR_064 → PAR_093 → PAR_075 → PAR_064,2.133,0.711,3_pares
PAR_029,PAR_075,PAR_061,PAR_029 → PAR_075 → PAR_061 → PAR_029,2.133,0.711,3_pares
PAR_061,PAR_073,PAR_109,PAR_061 → PAR_073 → PAR_109 → PAR_061,2.133,0.711,3_pares
PAR_037,PAR_058,PAR_068,PAR_037 → PAR_058 → PAR_068 → PAR_037,2.133,0.711,3_pares
PAR_069,PAR_109,PAR_080,PAR_069 → PAR_109 → PAR_080 → PAR_069,2.133,0.711,3_pares
PAR_069,PAR_075,PAR_111,PAR_069 → PAR_075 → PAR_111 → PAR_069,2.133,0.711,3_pares
PAR_003,PAR_094,PAR_099,PAR_003 → PAR_094 → PAR_099 → PAR_003,2.133,0.711,3_pares
PAR_027,PAR_075,PAR_070,PAR_027 → PAR_075 → PAR_070 → PAR_027,2.133,0.711,3_pares
PAR_027,PAR_073,PAR_070,PAR_027 → PAR_073 → PAR_070 → PAR_027,2.133,0.711,3_pares
PAR_012,PAR_061,PAR_103,PAR_012 → PAR_061 → PAR_103 → PAR_012,2.133,0.711,3_pares
PAR_003,PAR_094,PAR_064,PAR_003 → PAR_094 → PAR_064 → PAR_003,2.133,0.711,3_pares
PAR_037,PAR_109,PAR_061,PAR_037 → PAR_109 → PAR_061 → PAR_037,2.133,0.711,3_pares
PAR_012,PAR_051,PAR_101,PAR_012 → PAR_051 → PAR_101 → PAR_012,2.133,0.711,3_pares
PAR_016,PAR_069,PAR_037,PAR_016 → PAR_069 → PAR_037 → PAR_016,2.133,0.711,3_pares
PAR_092,PAR_099,PAR_093,PAR_092 → PAR_099 → PAR_093 → PAR_092,2.133,0.711,3_pares
PAR_075,PAR_099,PAR_093,PAR_075 → PAR_099 → PAR_093 → PAR_075,2.132,0.711,3_pares
PAR_026,PAR_101,PAR_094,PAR_026 → PAR_101 → PAR_094 → PAR_026,2.132,0.711,3_pares
PAR_037,PAR_112,PAR_094,PAR_037 → PAR_112 → PAR_094 → PAR_037,2.132,0.711,3_pares
PAR_028,PAR_061,PAR_103,PAR_028 → PAR_061 → PAR_103 → PAR_028,2.132,0.711,3_pares
PAR_046,PAR_064,PAR_109,PAR_046 → PAR_064 → PAR_109 → PAR_046,2.132,0.711,3_pares
PAR_029,PAR_037,PAR_080,PAR_029 → PAR_037 → PAR_080 → PAR_029,2.132,0.711,3_pares
PAR_046,PAR_096,PAR_109,PAR_046 → PAR_096 → PAR_109 → PAR_046,2.132,0.711,3_pares
PAR_037,PAR_075,PAR_097,PAR_037 → PAR_075 → PAR_097 → PAR_037,2.132,0.711,3_pares
PAR_003,PAR_111,PAR_039,PAR_003 → PAR_111 → PAR_039 → PAR_003,2.132,0.711,3_pares
PAR_068,PAR_069,PAR_070,PAR_068 → PAR_069 → PAR_070 → PAR_068,2.132,0.711,3_pares
PAR_039,PAR_069,PAR_109,PAR_039 → PAR_069 → PAR_109 → PAR_039,2.132,0.711,3_pares
PAR_021,PAR_046,PAR_093,PAR_021 → PAR_046 → PAR_093 → PAR_021,2.132,0.711,3_pares
PAR_061,PAR_075,PAR_109,PAR_061 → PAR_075 → PAR_109 → PAR_061,2.132,0.711,3_pares
PAR_001,PAR_003,PAR_021,PAR_001 → PAR_003 → PAR_021 → PAR_001,2.132,0.711,3_pares
PAR_029,PAR_075,PAR_046,PAR_029 → PAR_075 → PAR_046 → PAR_029,2.132,0.711,3_pares
PAR_053,PAR_055,PAR_111,PAR_053 → PAR_055 → PAR_111 → PAR_053,2.132,0.711,3_pares
PAR_007,PAR_012,PAR_034,PAR_007 → PAR_012 → PAR_034 → PAR_007,2.132,0.711,3_pares
PAR_070,PAR_109,PAR_117,PAR_070 → PAR_109 → PAR_117 → PAR_070,2.132,0.711,3_pares
PAR_061,PAR_065,PAR_101,PAR_061 → PAR_065 → PAR_101 → PAR_061,2.131,0.71,3_pares
PAR_029,PAR_075,PAR_080,PAR_029 → PAR_075 → PAR_080 → PAR_029,2.131,0.71,3_pares
PAR_029,PAR_094,PAR_073,PAR_029 → PAR_094 → PAR_073 → PAR_029,2.131,0.71,3_pares
PAR_061,PAR_094,PAR_085,PAR_061 → PAR_094 → PAR_085 → PAR_061,2.131,0.71,3_pares
PAR_090,PAR_094,PAR_101,PAR_090 → PAR_094 → PAR_101 → PAR_090,2.131,0.71,3_pares
PAR_021,PAR_061,PAR_037,PAR_021 → PAR_061 → PAR_037 → PAR_021,2.131,0.71,3_pares
PAR_064,PAR_073,PAR_075,PAR_064 → PAR_073 → PAR_075 → PAR_064,2.131,0.71,3_pares
PAR_034,PAR_037,PAR_073,PAR_034 → PAR_037 → PAR_073 → PAR_034,2.131,0.71,3_pares
PAR_034,PAR_037,PAR_096,PAR_034 → PAR_037 → PAR_096 → PAR_034,2.131,0.71,3_pares
PAR_012,PAR_037,PAR_030,PAR_012 → PAR_037 → PAR_030 → PAR_012,2.131,0.71,3_pares
PAR_021,PAR_061,PAR_073,PAR_021 → PAR_061 → PAR_073 → PAR_021,2.131,0.71,3_pares
PAR_021,PAR_046,PAR_073,PAR_021 → PAR_046 → PAR_073 → PAR_021,2.131,0.71,3_pares
PAR_021,PAR_046,PAR_096,PAR_021 → PAR_046 → PAR_096 → PAR_021,2.131,0.71,3_pares
PAR_073,PAR_092,PAR_099,PAR_073 → PAR_092 → PAR_099 → PAR_073,2.131,0.71,3_pares
PAR_021,PAR_080,PAR_069,PAR_021 → PAR_080 → PAR_069 → PAR_021,2.131,0.71,3_pares
PAR_037,PAR_109,PAR_080,PAR_037 → PAR_109 → PAR_080 → PAR_037,2.131,0.71,3_pares
PAR_003,PAR_034,PAR_039,PAR_003 → PAR_034 → PAR_039 → PAR_003,2.131,0.71,3_pares
PAR_046,PAR_090,PAR_094,PAR_046 → PAR_090 → PAR_094 → PAR_046,2.131,0.71,3_pares
PAR_073,PAR_075,PAR_099,PAR_073 → PAR_075 → PAR_099 → PAR_073,2.131,0.71,3_pares
PAR_012,PAR_109,PAR_040,PAR_012 → PAR_109 → PAR_040 → PAR_012,2.131,0.71,3_pares
PAR_021,PAR_117,PAR_070,PAR_021 → PAR_117 → PAR_070 → PAR_021,2.13,0.71,3_pares
PAR_012,PAR_094,PAR_103,PAR_012 → PAR_094 → PAR_103 → PAR_012,2.13,0.71,3_pares
PAR_046,PAR_109,PAR_075,PAR_046 → PAR_109 → PAR_075 → PAR_046,2.13,0.71,3_pares
PAR_021,PAR_039,PAR_069,PAR_021 → PAR_039 → PAR_069 → PAR_021,2.13,0.71,3_pares
PAR_046,PAR_070,PAR_094,PAR_046 → PAR_070 → PAR_094 → PAR_046,2.13,0.71,3_pares
PAR_028,PAR_094,PAR_051,PAR_028 → PAR_094 → PAR_051 → PAR_028,2.13,0.71,3_pares
PAR_005,PAR_070,PAR_052,PAR_005 → PAR_070 → PAR_052 → PAR_005,2.13,0.71,3_pares
PAR_012,PAR_027,PAR_117,PAR_012 → PAR_027 → PAR_117 → PAR_012,2.13,0.71,3_pares
PAR_012,PAR_061,PAR_058,PAR_012 → PAR_061 → PAR_058 → PAR_012,2.13,0.71,3_pares
PAR_012,PAR_029,PAR_069,PAR_012 → PAR_029 → PAR_069 → PAR_012,2.13,0.71,3_pares
PAR_037,PAR_075,PAR_111,PAR_037 → PAR_075 → PAR_111 → PAR_037,2.13,0.71,3_pares
PAR_070,PAR_094,PAR_101,PAR_070 → PAR_094 → PAR_101 → PAR_070,2.13,0.71,3_pares
PAR_012,PAR_034,PAR_090,PAR_012 → PAR_034 → PAR_090 → PAR_012,2.13,0.71,3_pares
PAR_021,PAR_037,PAR_080,PAR_021 → PAR_037 → PAR_080 → PAR_021,2.13,0.71,3_pares
PAR_029,PAR_051,PAR_055,PAR_029 → PAR_051 → PAR_055 → PAR_029,2.13,0.71,3_pares
PAR_021,PAR_061,PAR_075,PAR_021 → PAR_061 → PAR_075 → PAR_021,2.13,0.71,3_pares
PAR_003,PAR_109,PAR_117,PAR_003 → PAR_109 → PAR_117 → PAR_003,2.13,0.71,3_pares
PAR_064,PAR_068,PAR_070,PAR_064 → PAR_068 → PAR_070 → PAR_064,2.13,0.71,3_pares
PAR_012,PAR_061,PAR_102,PAR_012 → PAR_061 → PAR_102 → PAR_012,2.13,0.71,3_pares
PAR_052,PAR_085,PAR_109,PAR_052 → PAR_085 → PAR_109 → PAR_052,2.13,0.71,3_pares
PAR_053,PAR_055,PAR_061,PAR_053 → PAR_055 → PAR_061 → PAR_053,2.129,0.71,3_pares
PAR_034,PAR_092,PAR_099,PAR_034 → PAR_092 → PAR_099 → PAR_034,2.129,0.71,3_pares
PAR_021,PAR_075,PAR_046,PAR_021 → PAR_075 → PAR_046 → PAR_021,2.129,0.71,3_pares
PAR_037,PAR_053,PAR_069,PAR_037 → PAR_053 → PAR_069 → PAR_037,2.129,0.71,3_pares
PAR_037,PAR_076,PAR_094,PAR_037 → PAR_076 → PAR_094 → PAR_037,2.129,0.71,3_pares
PAR_061,PAR_099,PAR_069,PAR_061 → PAR_099 → PAR_069 → PAR_061,2.129,0.71,3_pares
PAR_037,PAR_109,PAR_039,PAR_037 → PAR_109 → PAR_039 → PAR_037,2.129,0.71,3_pares
PAR_012,PAR_075,PAR_033,PAR_012 → PAR_075 → PAR_033 → PAR_012,2.129,0.71,3_pares
PAR_021,PAR_052,PAR_057,PAR_021 → PAR_052 → PAR_057 → PAR_021,2.129,0.71,3_pares
PAR_028,PAR_094,PAR_103,PAR_028 → PAR_094 → PAR_103 → PAR_028,2.129,0.71,3_pares
PAR_028,PAR_034,PAR_070,PAR_028 → PAR_034 → PAR_070 → PAR_028,2.128,0.709,3_pares
